donor_id,donor_name,donor_age,donor_color,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color,
12296,H376.VI.50,4 mos,80FF80,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,E26880,10153,neural plate,NP,D7D8D8,6.8459
12889,H376.VI.51,4 mos,76EB76,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,5.6239
12889,H376.VI.51,4 mos,76EB76,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,4.9838
12890,H376.VI.52,4 mos,6CD66C,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,6.7543
12890,H376.VI.52,4 mos,6CD66C,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,6.6251
12890,H376.VI.52,4 mos,6CD66C,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,E26880,10153,neural plate,NP,D7D8D8,6.7052
12977,H376.VII.51,10 mos,B0EB3B,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,7.119
12977,H376.VII.51,10 mos,B0EB3B,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,E26880,10153,neural plate,NP,D7D8D8,6.3547
12830,H376.VIII.51,1 yrs,FFFF00,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,6.5323
12830,H376.VIII.51,1 yrs,FFFF00,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,6.7617
12830,H376.VIII.51,1 yrs,FFFF00,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,E26880,10153,neural plate,NP,D7D8D8,6.2712
12979,H376.VIII.53,2 yrs,EBEB00,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,2.9481
12979,H376.VIII.53,2 yrs,EBEB00,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,2.8591
12979,H376.VIII.53,2 yrs,EBEB00,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,E26880,10153,neural plate,NP,D7D8D8,2.0082
12836,H376.VIII.52,3 yrs,D6D600,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,5.7843
12980,H376.VIII.54,3 yrs,C2C200,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,3.4363
12980,H376.VIII.54,3 yrs,C2C200,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,3.43
12980,H376.VIII.54,3 yrs,C2C200,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,E26880,10153,neural plate,NP,D7D8D8,3.6535
12298,H376.VIII.50,4 yrs,ADAD00,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,5.7572
12298,H376.VIII.50,4 yrs,ADAD00,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,6.3811
12841,H376.IX.51,8 yrs,FFBF00,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,6.412
12841,H376.IX.51,8 yrs,FFBF00,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,6.5959
12841,H376.IX.51,8 yrs,FFBF00,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,E26880,10153,neural plate,NP,D7D8D8,6.1397
12981,H376.IX.52,8 yrs,EBB000,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,6.6862
12981,H376.IX.52,8 yrs,EBB000,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,7.048
12981,H376.IX.52,8 yrs,EBB000,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,E26880,10153,neural plate,NP,D7D8D8,6.6427
12289,H376.IX.50,11 yrs,D6A000,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,7.1918
12289,H376.IX.50,11 yrs,D6A000,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,7.1592
12289,H376.IX.50,11 yrs,D6A000,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,E26880,10153,neural plate,NP,D7D8D8,6.9067
12831,H376.X.51,13 yrs,FF8000,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,5.9196
12831,H376.X.51,13 yrs,FF8000,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,6.0254
12831,H376.X.51,13 yrs,FF8000,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,E26880,10153,neural plate,NP,D7D8D8,5.5013
12984,H376.X.53,18 yrs,D66C00,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,5.4426
12984,H376.X.53,18 yrs,D66C00,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,4.8065
12984,H376.X.53,18 yrs,D66C00,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,E26880,10153,neural plate,NP,D7D8D8,3.7121
12832,H376.X.52,19 yrs,C26100,10173,dorsolateral prefrontal cortex,DFC,D4B235,10153,neural plate,NP,D7D8D8,6.1171
12832,H376.X.52,19 yrs,C26100,10185,ventrolateral prefrontal cortex,VFC,C2A335,10153,neural plate,NP,D7D8D8,6.046
12832,H376.X.52,19 yrs,C26100,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,E26880,10153,neural plate,NP,D7D8D8,6.3089